;words
0;voic
1;ujkjc
2;la
3;voz
4;la
5;voix
6;vocea
7;ses
8;egor
9;yana
10;orest
11;2017
12;5
13;4
14;4
15;4
16;4
17;5
18;2017
19;voic
20;yelyzaveta
21;oleksandra
22;nino
23;2017
24;5
25;4
26;4
27;4
28;4
29;5
30;2017
31;505
32;505
33;voic
34;ujkjc
35;la
36;voz
37;la
38;voix
39;vocea
40;ses
41;sofiia
42;ihor
43;mariadaniela
44;2017
45;5
46;4
47;4
48;4
49;4
50;5
51;2017
52;believ
53;imagin
54;dragon
55;imagin
56;dragon
57;believ
58;voic
59;ujkjc
60;la
61;voz
62;la
63;voix
64;vocea
65;ses
66;daneliya
67;tuleshova
68;2017
69;6
70;4
71;4
72;4
73;4
74;6
75;2017
76;rise
77;andra
78;day
79;andra
80;day
81;rise
82;voic
83;ujkjc
84;la
85;voz
86;la
87;voix
88;vocea
89;ses
90;daneliia
91;christina
92;kasyniia
93;2017
94;5
95;4
96;4
97;4
98;4
99;5
100;2017
101;night
102;bastill
103;night
104;bastill
105;daneliya
106;tulyeshova
107;asia
108;got
109;talent
110;season
111;2
112;asia
113;got
114;talent
115;2017
116;asia
117;got
118;talent
119;asia
120;got
121;talent
122;audit
123;asia
124;got
125;talent
126;s2
127;asia
128;got
129;talent
130;season
131;2
132;2017
133;adem
134;danc
135;crew
136;semi
137;final
138;2017
139;adem
140;danc
141;crew
142;asia
143;got
144;talent
145;semi
146;final
147;2017
148;semi
149;final
150;2017
151;voic
152;ujkjc
153;la
154;voz
155;la
156;voix
157;vocea
158;ses
159;valeriia
160;kateryna
161;2017
162;5
163;4
164;4
165;4
166;4
167;5
168;2017
169;fade
170;alan
171;walker
172;fade
173;alan
174;walker
175;asia
176;got
177;talent
178;season
179;2
180;asia
181;got
182;talent
183;2017
184;asia
185;got
186;talent
187;asia
188;got
189;talent
190;audit
191;asia
192;got
193;talent
194;s2
195;asia
196;got
197;talent
198;season
199;2
200;2017
201;asia
202;got
203;talent
204;winner
205;2017
206;asia
207;got
208;talent
209;season
210;2
211;winner
212;2017
213;sacr
214;riana
215;sacr
216;riana
217;winner
218;asia
219;got
220;talent
221;season
222;2
223;asia
224;got
225;talent
226;2017
227;asia
228;got
229;talent
230;asia
231;got
232;talent
233;audit
234;asia
235;got
236;talent
237;s2
238;asia
239;got
240;talent
241;season
242;2
243;2017
244;voic
245;ujkjc
246;la
247;voz
248;la
249;voix
250;vocea
251;ses
252;oleksandr
253;angelina
254;veronika
255;2017
256;5
257;4
258;4
259;4
260;4
261;5
262;2017
263;asia
264;got
265;talent
266;season
267;2
268;asia
269;got
270;talent
271;2017
272;asia
273;got
274;talent
275;asia
276;got
277;talent
278;audit
279;asia
280;got
281;talent
282;s2
283;asia
284;got
285;talent
286;season
287;2
288;2017
289;sacr
290;riana
291;indonesia
292;sacr
293;riana
294;asia
295;got
296;talent
297;2017
298;sacr
299;riana
300;semi
301;final
302;2017
303;asia
304;got
305;talent
306;semi
307;final
308;2017
309;asia
310;got
311;talent
312;season
313;2
314;asia
315;got
316;talent
317;2017
318;asia
319;got
320;talent
321;asia
322;got
323;talent
324;audit
325;asia
326;got
327;talent
328;s2
329;asia
330;got
331;talent
332;season
333;2
334;2017
335;neil
336;rey
337;garcia
338;llane
339;2017
340;neil
341;rey
342;garcia
343;llane
344;philippin
345;2017
346;neil
347;rey
348;garcia
349;llane
350;semi
351;final
352;2017
353;asia
354;got
355;talent
356;semi
357;final
358;2017
359;asia
360;got
361;talent
362;season
363;2
364;asia
365;got
366;talent
367;2017
368;asia
369;got
370;talent
371;asia
372;got
373;talent
374;audit
375;asia
376;got
377;talent
378;s2
379;asia
380;got
381;talent
382;season
383;2
384;2017
385;sacr
386;riana
387;asia
388;got
389;talent
390;2017
391;sacr
392;riana
393;grand
394;final
395;2017
396;asia
397;got
398;talent
399;grand
400;final
401;2017
402;voic
403;ujkjc
404;la
405;voz
406;la
407;voix
408;vocea
409;ses
410;yana
411;horna
412;2017
413;6
414;4
415;4
416;4
417;4
418;6
419;2017
420;set
421;fire
422;rain
423;adel
424;adel
425;set
426;fire
427;rain
428;voic
429;ujkjc
430;la
431;voz
432;la
433;voix
434;vocea
435;ses
436;vladyslava
437;polina
438;veronika
439;2017
440;5
441;4
442;4
443;4
444;4
445;5
446;2017
447;voic
448;ujkjc
449;la
450;voz
451;la
452;voix
453;vocea
454;ses
455;veronika
456;kovalenko
457;2017
458;6
459;4
460;4
461;4
462;4
463;6
464;2017
465;#lglf5
466;la
467;grand
468;librairi
469;franoi
470;busnel
471;helos
472;dormesson
473;bernard
474;pivot
475;voic
476;ujkjc
477;la
478;voz
479;la
480;voix
481;vocea
482;ses
483;oleksandr
484;guk
485;2017
486;6
487;4
488;4
489;4
490;4
491;6
492;2017
493;still
494;love
495;scorpion
496;scorpion
497;still
498;love
499;voic
500;ujkjc
501;la
502;voz
503;la
504;voix
505;vocea
506;ses
507;nino
508;basilaya
509;2017
510;6
511;4
512;4
513;4
514;4
515;6
516;2017
517;#thevoiceafriqu
518;#equipecharlott
519;#equipesinguila
520;#equipelokua
521;#equipeasalfo
522;voic
523;afriqu
524;voic
525;afriqu
526;francophon
527;audit
528;laveugl
529;voic
530;charlott
531;dipanda
532;lokua
533;kanza
534;asalfo
535;magic
536;system
537;singuila
538;cover
539;voic
540;danika
541;anna
542;ernest
543;2017
544;5
545;4
546;4
547;4
548;4
549;5
550;2017
551;rockaby
552;clean
553;bandit
554;clean
555;bandit
556;rockaby
557;voic
558;ujkjc
559;la
560;voz
561;la
562;voix
563;vocea
564;ses
565;2017
566;4
567;4
568;4
569;4
570;4
571;4
572;2017
573;marvel
574;comic
575;comic
576;book
577;nerdi
578;geeki
579;super
580;hero
581;superhero
582;thor
583;ragnarok
584;mjolnir
585;chris
586;hemsworth
587;asia
588;got
589;talent
590;season
591;2
592;asia
593;got
594;talent
595;2017
596;asia
597;got
598;talent
599;asia
600;got
601;talent
602;audit
603;asia
604;got
605;talent
606;s2
607;asia
608;got
609;talent
610;season
611;2
612;2017
613;neil
614;rey
615;garcia
616;llane
617;2017
618;neil
619;rey
620;garcia
621;llane
622;judg
623;audit
624;2017
625;neil
626;rey
627;garcia
628;llane
629;asia
630;got
631;talent
632;2017
633;eurovis
634;song
635;contest
636;2018
637;lisbon
638;junior
639;eurovis
640;song
641;contest
642;nevena
643;bozov
644;tolmachevi
645;sister
646;michel
647;perniola
648;anita
649;simoncinni
650;og3n
651;russia
652;netherland
653;voic
654;ujkjc
655;la
656;voz
657;la
658;voix
659;vocea
660;ses
661;oleksandr
662;minonok
663;2017
664;6
665;4
666;4
667;4
668;4
669;6
670;2017
671;voic
672;ujkjc
673;la
674;voz
675;la
676;voix
677;vocea
678;ses
679;daryna
680;deni
681;svyatoslav
682;2017
683;5
684;4
685;4
686;4
687;4
688;5
689;2017
690;santana
691;maria
692;maria
693;santana
694;maria
695;maria
696;asia
697;got
698;talent
699;season
700;2
701;asia
702;got
703;talent
704;2017
705;asia
706;got
707;talent
708;asia
709;got
710;talent
711;audit
712;asia
713;got
714;talent
715;s2
716;asia
717;got
718;talent
719;season
720;2
721;2017
722;sobhi
723;shaker
724;magician
725;2017
726;sobhi
727;shaker
728;2017
729;sobhi
730;shaker
731;asia
732;got
733;talent
734;2017
735;sobhi
736;shaker
737;judg
738;audit
739;2017
740;asia
741;got
742;talent
743;season
744;2
745;asia
746;got
747;talent
748;2017
749;asia
750;got
751;talent
752;asia
753;got
754;talent
755;audit
756;asia
757;got
758;talent
759;s2
760;asia
761;got
762;talent
763;season
764;2
765;2017
766;218
767;danc
768;crew
769;vietnam
770;218
771;danc
772;crew
773;semi
774;final
775;2017
776;asia
777;got
778;talent
779;semi
780;final
781;2017
782;kpop
783;1thek
784;loen
785;mv
786;teaser
787;new
788;song
789;hallyu
790;idol
791;danc
792;teddi
793;mixnin
794;yg
795;fave
796;onoff
797;asia
798;got
799;talent
800;season
801;2
802;asia
803;got
804;talent
805;2017
806;asia
807;got
808;talent
809;asia
810;got
811;talent
812;audit
813;asia
814;got
815;talent
816;s2
817;asia
818;got
819;talent
820;season
821;2
822;2017
823;nyamger
824;gankhuyag
825;asia
826;got
827;talent
828;2017
829;nyamger
830;gankhuyag
831;judg
832;audit
833;2017
834;nyamger
835;gankhuyag
836;2017
837;asia
838;got
839;talent
840;season
841;2
842;asia
843;got
844;talent
845;2017
846;asia
847;got
848;talent
849;asia
850;got
851;talent
852;audit
853;asia
854;got
855;talent
856;s2
857;asia
858;got
859;talent
860;season
861;2
862;2017
863;syah
864;riszuan
865;asia
866;got
867;talent
868;2017
869;syah
870;riszuan
871;judg
872;audit
873;2017
874;syah
875;riszuan
876;singapor
877;2017
878;asia
879;got
880;talent
881;season
882;2
883;asia
884;got
885;talent
886;2017
887;asia
888;got
889;talent
890;asia
891;got
892;talent
893;audit
894;asia
895;got
896;talent
897;s2
898;asia
899;got
900;talent
901;season
902;2
903;2017
904;akira
905;kimura
906;asia
907;got
908;talent
909;2017
910;akira
911;kimura
912;semi
913;final
914;2017
915;asia
916;got
917;talent
918;semi
919;final
920;2017
921;star
922;war
923;last
924;jedi
925;daisi
926;ridley
927;mark
928;hamil
929;adam
930;driver
931;rey
932;kylo
933;ren
934;luke
935;skywalk
936;snoke
937;commerci
938;tv
939;spot
940;awaken
941;marvel
942;comic
943;comic
944;book
945;nerdi
946;geeki
947;super
948;hero
949;superhero
950;#thevoiceafriqu
951;#equipecharlott
952;#equipesinguila
953;#equipelokua
954;#equipeasalfo
955;voic
956;afriqu
957;voic
958;afriqu
959;francophon
960;audit
961;laveugl
962;voic
963;charlott
964;dipanda
965;lokua
966;kanza
967;asalfo
968;magic
969;system
970;singuila
971;cover
972;#thevoiceafriqu
973;#equipecharlott
974;#equipesinguila
975;#equipelokua
976;#equipeasalfo
977;voic
978;afriqu
979;voic
980;afriqu
981;francophon
982;audit
983;laveugl
984;voic
985;charlott
986;dipanda
987;lokua
988;kanza
989;asalfo
990;magic
991;system
992;singuila
993;cover
994;voic
995;ujkjc
996;la
997;voz
998;la
999;voix
1000;vocea
1001;ses
1002;daneliya
1003;tuleshova
1004;2017
1005;7
1006;4
1007;4
1008;4
1009;4
1010;7
1011;2017
1012;asia
1013;got
1014;talent
1015;season
1016;2
1017;asia
1018;got
1019;talent
1020;2017
1021;asia
1022;got
1023;talent
1024;asia
1025;got
1026;talent
1027;audit
1028;asia
1029;got
1030;talent
1031;s2
1032;asia
1033;got
1034;talent
1035;season
1036;2
1037;2017
1038;david
1039;foster
1040;asia
1041;got
1042;talent
1043;2017
1044;anggun
1045;asia
1046;got
1047;talent
1048;2017
1049;jay
1050;park
1051;asia
1052;got
1053;talent
1054;2017
1055;voic
1056;ujkjc
1057;la
1058;voz
1059;la
1060;voix
1061;vocea
1062;ses
1063;deni
1064;dovirak
1065;svyatoslav
1066;stefyuk
1067;2017
1068;6
1069;4
1070;4
1071;4
1072;4
1073;6
1074;2017
1075;bonni
1076;franklin
1077;valeri
1078;bertinelli
1079;mackenzi
1080;phillip
1081;pat
1082;harrington
1083;jr
1084;richard
1085;masur
1086;one
1087;day
1088;time
1089;season
1090;2
1091;1975
1092;1970s
1093;singl
1094;mother
1095;rais
1096;two
1097;teenag
1098;daughter
1099;norman
1100;lear
1101;sitcom
1102;soni
1103;pictur
1104;entertain
1105;soni
1106;offici
1107;netflix
1108;dvd
1109;season
1110;1
1111;avail
1112;dvd
1113;#thevoiceafriqu
1114;#equipecharlott
1115;#equipesinguila
1116;#equipelokua
1117;#equipeasalfo
1118;voic
1119;afriqu
1120;voic
1121;afriqu
1122;francophon
1123;audit
1124;laveugl
1125;voic
1126;charlott
1127;dipanda
1128;lokua
1129;kanza
1130;asalfo
1131;magic
1132;system
1133;singuila
1134;cover
1135;asia
1136;got
1137;talent
1138;season
1139;2
1140;asia
1141;got
1142;talent
1143;2017
1144;asia
1145;got
1146;talent
1147;asia
1148;got
1149;talent
1150;audit
1151;asia
1152;got
1153;talent
1154;s2
1155;asia
1156;got
1157;talent
1158;season
1159;2
1160;2017
1161;power
1162;storm
1163;thailand
1164;2017
1165;power
1166;storm
1167;asia
1168;got
1169;talent
1170;semi
1171;final
1172;2017
1173;asia
1174;got
1175;talent
1176;semi
1177;final
1178;2017
1179;eurovis
1180;song
1181;contest
1182;top
1183;10
1184;luxembourg
1185;luxemburg
1186;entri
1187;song
1188;histori
1189;voic
1190;ujkjc
1191;la
1192;voz
1193;la
1194;voix
1195;vocea
1196;ses
1197;daneliya
1198;tuleshova
1199;2017
1200;7
1201;4
1202;4
1203;4
1204;4
1205;7
1206;2017
1207;spectrum
1208;florenc
1209;machin
1210;florenc
1211;machin
1212;spectrum
1213;voic
1214;ujkjc
1215;la
1216;voz
1217;la
1218;voix
1219;vocea
1220;ses
1221;maria
1222;yermakova
1223;2017
1224;6
1225;4
1226;4
1227;4
1228;4
1229;6
1230;2017
1231;run
1232;run
1233;voic
1234;ujkjc
1235;la
1236;voz
1237;la
1238;voix
1239;vocea
1240;ses
1241;nino
1242;basilaya
1243;young
1244;young
1245;2017
1246;4
1247;4
1248;4
1249;4
1250;4
1251;4
1252;2017
1253;young
1254;adel
1255;adel
1256;cgs2main
1257;asia
1258;got
1259;talent
1260;season
1261;2
1262;asia
1263;got
1264;talent
1265;2017
1266;asia
1267;got
1268;talent
1269;asia
1270;got
1271;talent
1272;audit
1273;asia
1274;got
1275;talent
1276;s2
1277;asia
1278;got
1279;talent
1280;season
1281;2
1282;2017
1283;sacr
1284;riana
1285;asia
1286;got
1287;talent
1288;winner
1289;asia
1290;got
1291;talent
1292;2017
1293;winner
1294;asia
1295;got
1296;talent
1297;season
1298;2
1299;asia
1300;got
1301;talent
1302;2017
1303;asia
1304;got
1305;talent
1306;asia
1307;got
1308;talent
1309;audit
1310;asia
1311;got
1312;talent
1313;s2
1314;asia
1315;got
1316;talent
1317;season
1318;2
1319;2017
1320;canion
1321;shijirbat
1322;asia
1323;got
1324;talent
1325;2017
1326;canion
1327;shijirbat
1328;grand
1329;final
1330;2017
1331;asia
1332;got
1333;talent
1334;grand
1335;final
1336;2017
1337;voic
1338;ujkjc
1339;la
1340;voz
1341;la
1342;voix
1343;vocea
1344;ses
1345;illya
1346;liza
1347;tymofii
1348;2017
1349;5
1350;4
1351;4
1352;4
1353;4
1354;5
1355;2017
1356;netflix
1357;netflix
1358;latinoamrica
1359;jim
1360;andi
1361;jim
1362;carrey
1363;andi
1364;kaufman
1365;drama
1366;document
1367;transformacin
1368;comediant
1369;actor
1370;el
1371;mundo
1372;de
1373;andi
1374;interpretacin
1375;man
1376;moon
1377;document
1378;origin
1379;de
1380;netflix
1381;detr
1382;de
1383;escena
1384;triler
1385;ofici
1386;asia
1387;got
1388;talent
1389;season
1390;2
1391;asia
1392;got
1393;talent
1394;2017
1395;asia
1396;got
1397;talent
1398;asia
1399;got
1400;talent
1401;audit
1402;asia
1403;got
1404;talent
1405;s2
1406;asia
1407;got
1408;talent
1409;season
1410;2
1411;2017
1412;golden
1413;buzzer
1414;audit
1415;2017
1416;golden
1417;buzzer
1418;asia
1419;got
1420;talent
1421;2017
1422;canion
1423;shirjibat
1424;golden
1425;buzzer
1426;2017
1427;voic
1428;ujkjc
1429;la
1430;voz
1431;la
1432;voix
1433;vocea
1434;ses
1435;monatik
1436;daneliya
1437;tuleshova
1438;2017
1439;7
1440;4
1441;4
1442;4
1443;4
1444;7
1445;2017
1446;voic
1447;ujkjc
1448;la
1449;voz
1450;la
1451;voix
1452;vocea
1453;ses
1454;finalist
1455;2017
1456;7
1457;4
1458;4
1459;4
1460;4
1461;7
1462;2017
1463;voic
1464;anthem
1465;voic
1466;ujkjc
1467;la
1468;voz
1469;la
1470;voix
1471;vocea
1472;ses
1473;oleksandr
1474;eva
1475;polina
1476;2017
1477;5
1478;4
1479;4
1480;4
1481;4
1482;5
1483;2017
1484;voic
1485;ujkjc
1486;la
1487;voz
1488;la
1489;voix
1490;vocea
1491;ses
1492;timeglass
1493;oleksandr
1494;minonok
1495;yana
1496;horna
1497;2017
1498;7
1499;4
1500;4
1501;4
1502;4
1503;7
1504;2017
1505;netflix
1506;netflix
1507;latinoamrica
1508;stranger
1509;thing
1510;stranger
1511;thing
1512;3
1513;caleb
1514;mclaughlin
1515;winona
1516;ryder
1517;hermano
1518;duffer
1519;david
1520;harbour
1521;noah
1522;schnapp
1523;gaten
1524;matarazzo
1525;sadi
1526;sink
1527;milli
1528;bobbi
1529;brown
1530;thriller
1531;drama
1532;transmisin
1533;en
1534;linea
1535;flatlin
1536;soni
1537;pictur
1538;entertain
1539;offici
1540;trailer
1541;trailer
1542;nina
1543;dobrev
1544;ellen
1545;page
1546;kiefer
1547;sutherland
1548;diego
1549;luna
1550;kiersey
1551;clemon
1552;charlott
1553;mckinney
1554;jame
1555;norton
1556;tyler
1557;hyne
1558;near
1559;death
1560;experi
1561;flatlin
1562;remak
1563;flatlin
1564;sequel
1565;flatlin
1566;reboot
1567;flatlin
1568;2
1569;flatlin
1570;trailer
1571;new
1572;flatlin
1573;second
1574;trailer
1575;trailer
1576;2
1577;new
1578;trailer
1579;horror
1580;movi
1581;2017
1582;voic
1583;ujkjc
1584;la
1585;voz
1586;la
1587;voix
1588;vocea
1589;ses
1590;daryna
1591;krasnovetska
1592;1944
1593;1944
1594;2017
1595;4
1596;4
1597;4
1598;4
1599;4
1600;4
1601;2017
1602;jamala
1603;jamala
1604;1944
1605;1944
1606;jamala
1607;emiss
1608;cinema
1609;couliss
1610;des
1611;emiss
1612;cinema
1613;canal
1614;make
1615;emiss
1616;cinema
1617;adl
1618;exarchopoulo
1619;le
1620;fidl
1621;michal
1622;r
1623;roskam
1624;adel
1625;exarchopoulo
1626;mattia
1627;scoenaert
1628;voic
1629;ujkjc
1630;la
1631;voz
1632;la
1633;voix
1634;vocea
1635;ses
1636;odyn
1637;v
1638;kano
1639;2017
1640;7
1641;4
1642;4
1643;4
1644;4
1645;7
1646;2017
1647;#thevoiceafriqu
1648;#equipecharlott
1649;#equipesinguila
1650;#equipelokua
1651;#equipeasalfo
1652;voic
1653;afriqu
1654;voic
1655;afriqu
1656;francophon
1657;audit
1658;laveugl
1659;voic
1660;charlott
1661;dipanda
1662;lokua
1663;kanza
1664;asalfo
1665;magic
1666;system
1667;singuila
1668;cover
1669;netflix
1670;netflix
1671;latinoamrica
1672;stranger
1673;thing
1674;stranger
1675;thing
1676;2
1677;cortometraj
1678;jaim
1679;maussan
1680;caso
1681;hawkin
1682;winona
1683;ryder
1684;david
1685;harbour
1686;finn
1687;wolfhard
1688;gaten
1689;matarazzo
1690;caleb
1691;mclaughlin
1692;demogorgon
1693;eleven
1694;hawkin
1695;marvel
1696;comic
1697;comic
1698;book
1699;nerd
1700;geek
1701;superhero
1702;super
1703;hero
1704;voic
1705;ujkjc
1706;la
1707;voz
1708;la
1709;voix
1710;vocea
1711;ses
1712;tymofii
1713;bazarenko
1714;2017
1715;4
1716;4
1717;4
1718;4
1719;4
1720;4
1721;2017
1722;queen
1723;freddi
1724;mercuri
1725;brian
1726;may
1727;roger
1728;taylor
1729;john
1730;deacon
1731;adam
1732;lambert
1733;bohemian
1734;rhapsodi
1735;queen
1736;offici
1737;video
1738;queen
1739;offici
1740;channel
1741;queen
1742;offici
1743;queen
1744;music
1745;progress
1746;rock
1747;rock
1748;music
1749;news
1750;world
1751;unbox
1752;queen
1753;unbox
1754;unbox
1755;video
1756;40th
1757;anniversari
1758;edit
1759;asia
1760;got
1761;talent
1762;season
1763;2
1764;asia
1765;got
1766;talent
1767;2017
1768;asia
1769;got
1770;talent
1771;asia
1772;got
1773;talent
1774;audit
